issue,issueCount,Note
COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_HIGHERRANK,3,
GEODETIC_DATUM_INVALID;GEODETIC_DATUM_ASSUMED_WGS84;RECORDED_DATE_INVALID;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;COLLECTION_MATCH_NONE;INSTITUTION_MATCH_FUZZY,5,
COORDINATE_ROUNDED;COUNTRY_INVALID;COUNTRY_DERIVED_FROM_COORDINATES;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT,3,
CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED,1,
COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;RECORDED_DATE_INVALID;INSTITUTION_MATCH_NONE,4,
GEODETIC_DATUM_ASSUMED_WGS84;RECORDED_DATE_INVALID;MODIFIED_DATE_INVALID,2,
TAXON_MATCH_FUZZY;COLLECTION_MATCH_NONE;INSTITUTION_MATCH_FUZZY,2,
COORDINATE_ROUNDED;RECORDED_DATE_INVALID,1,
CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_CONCEPT_ID_IGNORED;TAXON_MATCH_TAXON_ID_IGNORED;INSTITUTION_MATCH_NONE,3,
COORDINATE_ROUNDED;FOOTPRINT_SRS_INVALID;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED,3,
GEODETIC_DATUM_INVALID;GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES,2,
GEODETIC_DATUM_ASSUMED_WGS84;PRESUMED_NEGATED_LONGITUDE,1,
TAXON_MATCH_TAXON_CONCEPT_ID_IGNORED;TAXON_MATCH_TAXON_ID_IGNORED;INSTITUTION_MATCH_NONE,2,
GEODETIC_DATUM_ASSUMED_WGS84;MODIFIED_DATE_INVALID,1,
COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_HIGHERRANK;TAXON_MATCH_TAXON_ID_IGNORED,3,
GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_NONE,2,
GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_CONCEPT_ID_IGNORED;TAXON_MATCH_TAXON_ID_IGNORED,3,
COORDINATE_ROUNDED;GEODETIC_DATUM_INVALID;GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;RECORDED_DATE_UNLIKELY,4,
RECORDED_DATE_INVALID;INSTITUTION_MATCH_NONE,1,
GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;COLLECTION_MATCH_NONE;INSTITUTION_MATCH_FUZZY,3,
COORDINATE_ROUNDED;COUNTRY_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED,2,
COORDINATE_REPROJECTED,0,
TAXON_MATCH_HIGHERRANK;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT,1,
INSTITUTION_COLLECTION_MISMATCH,0,
CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY,2,
COUNTRY_INVALID,0,
COORDINATE_REPROJECTED;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT,1,
GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_INVALID;CONTINENT_DERIVED_FROM_COORDINATES;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT,3,
GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_INVALID;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT,2,
COORDINATE_INVALID;MODIFIED_DATE_INVALID;TYPE_STATUS_INVALID;INSTITUTION_MATCH_NONE,3,
GEODETIC_DATUM_INVALID;GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY,4,
CONTINENT_DERIVED_FROM_COORDINATES;MODIFIED_DATE_INVALID;INSTITUTION_MATCH_NONE,2,
COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;FOOTPRINT_WKT_INVALID;COUNTRY_DERIVED_FROM_COORDINATES,3,
INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY,1,
NULL,0,
GEODETIC_DATUM_ASSUMED_WGS84;TAXON_MATCH_FUZZY,1,
