Graph	d	p	beta	EC
thresh_600.0_cost_2355	400.0	0.05	1.0	3.672395393066115E7
thresh_600.0_cost_2355	500.0	0.05	1.0	3.71466943156124E7
thresh_600.0_cost_2355	600.0	0.05	1.0	3.751150326120598E7
thresh_600.0_cost_2355	700.0	0.05	1.0	3.783183301087851E7
thresh_600.0_cost_2355	800.0	0.05	1.0	3.8116361606387354E7
thresh_600.0_cost_2355	900.0	0.05	1.0	3.837128871417238E7
thresh_600.0_cost_2355	1000.0	0.05	1.0	3.8601303256662145E7
thresh_600.0_cost_2355	1100.0	0.05	1.0	3.881007476918583E7
thresh_600.0_cost_2355	1200.0	0.05	1.0	3.90005414781371E7
thresh_600.0_cost_2355	1300.0	0.05	1.0	3.9175096294945866E7
thresh_600.0_cost_2355	1400.0	0.05	1.0	3.933571456275708E7
thresh_600.0_cost_2355	1500.0	0.05	1.0	3.948404545354105E7
thresh_600.0_cost_2355	1600.0	0.05	1.0	3.96214792699869E7
thresh_600.0_cost_2355	1700.0	0.05	1.0	3.974919809997908E7
thresh_600.0_cost_2355	1800.0	0.05	1.0	3.986821461963494E7
thresh_600.0_cost_2355	1900.0	0.05	1.0	3.9979402262497514E7
thresh_600.0_cost_2355	2000.0	0.05	1.0	4.008351898000127E7
thresh_600.0_cost_2355	2100.0	0.05	1.0	4.018122616879416E7
thresh_600.0_cost_2355	2200.0	0.05	1.0	4.027310390237749E7
thresh_600.0_cost_2355	2300.0	0.05	1.0	4.03596633018826E7
thresh_600.0_cost_2355	2400.0	0.05	1.0	4.0441356667595014E7
thresh_600.0_cost_2355	2500.0	0.05	1.0	4.0518585840090245E7
thresh_600.0_cost_2355	2600.0	0.05	1.0	4.05917091487807E7
thresh_600.0_cost_2355	2700.0	0.05	1.0	4.0661047223841704E7
thresh_600.0_cost_2355	2800.0	0.05	1.0	4.072688788645833E7
thresh_600.0_cost_2355	2900.0	0.05	1.0	4.078949028631919E7
thresh_600.0_cost_2355	3000.0	0.05	1.0	4.084908842023119E7
thresh_600.0_cost_2355	3100.0	0.05	1.0	4.090589413877415E7
thresh_600.0_cost_2355	3200.0	0.05	1.0	4.0960099727003805E7
thresh_600.0_cost_2355	3300.0	0.05	1.0	4.10118801288556E7
thresh_600.0_cost_2355	3400.0	0.05	1.0	4.106139487201261E7
thresh_600.0_cost_2355	3500.0	0.05	1.0	4.1108789739766486E7
thresh_600.0_cost_2355	3600.0	0.05	1.0	4.115419822822575E7
thresh_600.0_cost_2355	3700.0	0.05	1.0	4.1197742820646696E7
thresh_600.0_cost_2355	3800.0	0.05	1.0	4.123953610534454E7
thresh_600.0_cost_2355	3900.0	0.05	1.0	4.1279681759313785E7
thresh_600.0_cost_2355	4000.0	0.05	1.0	4.1318275416147344E7
