Graph	d	p	beta	EC
thresh_600.0_cost_2355	400.0	0.05	1.0	5.900996632674374E7
thresh_600.0_cost_2355	500.0	0.05	1.0	6.113800433732532E7
thresh_600.0_cost_2355	600.0	0.05	1.0	6.320002841225138E7
thresh_600.0_cost_2355	700.0	0.05	1.0	6.519125249867103E7
thresh_600.0_cost_2355	800.0	0.05	1.0	6.711043007737818E7
thresh_600.0_cost_2355	900.0	0.05	1.0	6.895881817846386E7
thresh_600.0_cost_2355	1000.0	0.05	1.0	7.07391632406062E7
thresh_600.0_cost_2355	1100.0	0.05	1.0	7.24549674612948E7
thresh_600.0_cost_2355	1200.0	0.05	1.0	7.41100100129977E7
thresh_600.0_cost_2355	1300.0	0.05	1.0	7.570805713440639E7
thresh_600.0_cost_2355	1400.0	0.05	1.0	7.725270068517041E7
thresh_600.0_cost_2355	1500.0	0.05	1.0	7.874727912993118E7
thresh_600.0_cost_2355	1600.0	0.05	1.0	8.019484879845244E7
thresh_600.0_cost_2355	1700.0	0.05	1.0	8.15981841786001E7
thresh_600.0_cost_2355	1800.0	0.05	1.0	8.29597937741289E7
thresh_600.0_cost_2355	1900.0	0.05	1.0	8.428194328697495E7
thresh_600.0_cost_2355	2000.0	0.05	1.0	8.556668126552202E7
thresh_600.0_cost_2355	2100.0	0.05	1.0	8.681586448657928E7
thresh_600.0_cost_2355	2200.0	0.05	1.0	8.803118164372617E7
thresh_600.0_cost_2355	2300.0	0.05	1.0	8.92141746958076E7
thresh_600.0_cost_2355	2400.0	0.05	1.0	9.036625768264191E7
thresh_600.0_cost_2355	2500.0	0.05	1.0	9.148873306626807E7
thresh_600.0_cost_2355	2600.0	0.05	1.0	9.258280578487909E7
thresh_600.0_cost_2355	2700.0	0.05	1.0	9.364959526269077E7
thresh_600.0_cost_2355	2800.0	0.05	1.0	9.46901456331703E7
thresh_600.0_cost_2355	2900.0	0.05	1.0	9.570543442417184E7
thresh_600.0_cost_2355	3000.0	0.05	1.0	9.669637993300435E7
thresh_600.0_cost_2355	3100.0	0.05	1.0	9.766384749405959E7
thresh_600.0_cost_2355	3200.0	0.05	1.0	9.860865481525388E7
thresh_600.0_cost_2355	3300.0	0.05	1.0	9.953157653431354E7
thresh_600.0_cost_2355	3400.0	0.05	1.0	1.004333481229287E8
thresh_600.0_cost_2355	3500.0	0.05	1.0	1.0131466924643426E8
thresh_600.0_cost_2355	3600.0	0.05	1.0	1.0217620666901879E8
thresh_600.0_cost_2355	3700.0	0.05	1.0	1.0301859677936988E8
thresh_600.0_cost_2355	3800.0	0.05	1.0	1.0384244779890418E8
thresh_600.0_cost_2355	3900.0	0.05	1.0	1.0464834172402702E8
thresh_600.0_cost_2355	4000.0	0.05	1.0	1.05436836044946E8
