Graph	d	p	beta	PC
thresh_600.0_cost_2355	400.0	0.05	1.0	8.16613069615972E-6
thresh_600.0_cost_2355	500.0	0.05	1.0	8.765730405372278E-6
thresh_600.0_cost_2355	600.0	0.05	1.0	9.366991794723107E-6
thresh_600.0_cost_2355	700.0	0.05	1.0	9.96653607125617E-6
thresh_600.0_cost_2355	800.0	0.05	1.0	1.0561987198066023E-5
thresh_600.0_cost_2355	900.0	0.05	1.0	1.1151806176073359E-5
thresh_600.0_cost_2355	1000.0	0.05	1.0	1.1735063106475263E-5
thresh_600.0_cost_2355	1100.0	0.05	1.0	1.2311243587553231E-5
thresh_600.0_cost_2355	1200.0	0.05	1.0	1.2880103018418901E-5
thresh_600.0_cost_2355	1300.0	0.05	1.0	1.3441563719593065E-5
thresh_600.0_cost_2355	1400.0	0.05	1.0	1.399564553202366E-5
thresh_600.0_cost_2355	1500.0	0.05	1.0	1.4542420783948122E-5
thresh_600.0_cost_2355	1600.0	0.05	1.0	1.5081986181420865E-5
thresh_600.0_cost_2355	1700.0	0.05	1.0	1.5614446053736353E-5
thresh_600.0_cost_2355	1800.0	0.05	1.0	1.613990300087249E-5
thresh_600.0_cost_2355	1900.0	0.05	1.0	1.6658453231536258E-5
thresh_600.0_cost_2355	2000.0	0.05	1.0	1.7170184776952965E-5
thresh_600.0_cost_2355	2100.0	0.05	1.0	1.767517738960547E-5
thresh_600.0_cost_2355	2200.0	0.05	1.0	1.817350336046518E-5
thresh_600.0_cost_2355	2300.0	0.05	1.0	1.866522877214495E-5
thresh_600.0_cost_2355	2400.0	0.05	1.0	1.91504148929095E-5
thresh_600.0_cost_2355	2500.0	0.05	1.0	1.962911953881993E-5
thresh_600.0_cost_2355	2600.0	0.05	1.0	2.0101398309996557E-5
thresh_600.0_cost_2355	2700.0	0.05	1.0	2.0567305656699046E-5
thresh_600.0_cost_2355	2800.0	0.05	1.0	2.1026895761500143E-5
thresh_600.0_cost_2355	2900.0	0.05	1.0	2.1480223241895765E-5
thresh_600.0_cost_2355	3000.0	0.05	1.0	2.1927343687654574E-5
thresh_600.0_cost_2355	3100.0	0.05	1.0	2.2368314052022577E-5
thresh_600.0_cost_2355	3200.0	0.05	1.0	2.2803192917503114E-5
thresh_600.0_cost_2355	3300.0	0.05	1.0	2.3232040656621794E-5
thresh_600.0_cost_2355	3400.0	0.05	1.0	2.365491950669256E-5
thresh_600.0_cost_2355	3500.0	0.05	1.0	2.4071893575667254E-5
thresh_600.0_cost_2355	3600.0	0.05	1.0	2.4483028794012743E-5
thresh_600.0_cost_2355	3700.0	0.05	1.0	2.4888392825421832E-5
thresh_600.0_cost_2355	3800.0	0.05	1.0	2.5288054947150463E-5
thresh_600.0_cost_2355	3900.0	0.05	1.0	2.5682085908940432E-5
thresh_600.0_cost_2355	4000.0	0.05	1.0	2.6070557777862204E-5
