Graph	d	p	beta	PC
thresh_600.0_cost_2355	400.0	0.05	1.0	3.162747059026624E-6
thresh_600.0_cost_2355	500.0	0.05	1.0	3.2359808036812105E-6
thresh_600.0_cost_2355	600.0	0.05	1.0	3.2998525180072026E-6
thresh_600.0_cost_2355	700.0	0.05	1.0	3.3564513819846264E-6
thresh_600.0_cost_2355	800.0	0.05	1.0	3.407128156782869E-6
thresh_600.0_cost_2355	900.0	0.05	1.0	3.452855180117711E-6
thresh_600.0_cost_2355	1000.0	0.05	1.0	3.4943751470330738E-6
thresh_600.0_cost_2355	1100.0	0.05	1.0	3.532275358131756E-6
thresh_600.0_cost_2355	1200.0	0.05	1.0	3.5670308569008577E-6
thresh_600.0_cost_2355	1300.0	0.05	1.0	3.599032248430612E-6
thresh_600.0_cost_2355	1400.0	0.05	1.0	3.628604881416517E-6
thresh_600.0_cost_2355	1500.0	0.05	1.0	3.6560226625834397E-6
thresh_600.0_cost_2355	1600.0	0.05	1.0	3.6815183082712654E-6
thresh_600.0_cost_2355	1700.0	0.05	1.0	3.7052911232796335E-6
thresh_600.0_cost_2355	1800.0	0.05	1.0	3.7275130084691043E-6
thresh_600.0_cost_2355	1900.0	0.05	1.0	3.7483331690590387E-6
thresh_600.0_cost_2355	2000.0	0.05	1.0	3.76788185153112E-6
thresh_600.0_cost_2355	2100.0	0.05	1.0	3.7862733426551035E-6
thresh_600.0_cost_2355	2200.0	0.05	1.0	3.8036084002626707E-6
thresh_600.0_cost_2355	2300.0	0.05	1.0	3.819976241056074E-6
thresh_600.0_cost_2355	2400.0	0.05	1.0	3.835456179337912E-6
thresh_600.0_cost_2355	2500.0	0.05	1.0	3.8501189879275936E-6
thresh_600.0_cost_2355	2600.0	0.05	1.0	3.864028035989349E-6
thresh_600.0_cost_2355	2700.0	0.05	1.0	3.877240246240345E-6
thresh_600.0_cost_2355	2800.0	0.05	1.0	3.889806904815376E-6
thresh_600.0_cost_2355	2900.0	0.05	1.0	3.901774350095026E-6
thresh_600.0_cost_2355	3000.0	0.05	1.0	3.913184561465409E-6
thresh_600.0_cost_2355	3100.0	0.05	1.0	3.9240756648499765E-6
thresh_600.0_cost_2355	3200.0	0.05	1.0	3.934482368634386E-6
thresh_600.0_cost_2355	3300.0	0.05	1.0	3.944436341074055E-6
thresh_600.0_cost_2355	3400.0	0.05	1.0	3.953966538268516E-6
thresh_600.0_cost_2355	3500.0	0.05	1.0	3.963099490186714E-6
thresh_600.0_cost_2355	3600.0	0.05	1.0	3.97185955094206E-6
thresh_600.0_cost_2355	3700.0	0.05	1.0	3.980269118477804E-6
thresh_600.0_cost_2355	3800.0	0.05	1.0	3.988348827978824E-6
thresh_600.0_cost_2355	3900.0	0.05	1.0	3.996117722636279E-6
thresh_600.0_cost_2355	4000.0	0.05	1.0	4.003593404824434E-6
